,station_id,counts,name,lat,lon,station_type,capacity
149,3280,1,Astor Place,40.71928220070702,-74.07126188278198,classic,14
150,3298,3,Warren St & Court St,40.686371,-73.99383324,classic,31
151,3303,6,Butler St & Court St,40.6849894,-73.99440329,classic,35
152,3311,5,Columbia St & Kane St,40.68763155,-74.0016256,classic,20
153,3315,4,Henry St & Degraw St,40.6847514,-73.99917254,classic,23
154,3317,2,10 St & 5 Ave,40.6686273,-73.98700053,classic,24
155,3319,6,14 St & 5 Ave,40.666287,-73.98895053,classic,21
156,3321,2,Clinton St & Union St,40.6831164,-73.99785267,classic,38
157,3324,3,3 Ave & 14 St,40.6685455,-73.99333264,classic,25
158,3329,3,Degraw St & Smith St,40.6829151,-73.99318208,classic,27
159,3330,2,Henry St & Bay St,40.6725058,-74.00494695,classic,19
160,3332,6,Degraw St & Hoyt St,40.681990442707026,-73.99079024791718,classic,27
161,3335,5,Union St & 4 Ave,40.6772744,-73.98282002,classic,28
162,3337,6,Dwight St & Van Dyke St,40.67363551341504,-74.01195555925369,classic,23
163,3340,4,Wolcott St & Dwight St,40.6753274,-74.0100698,classic,21
164,3342,1,Pioneer St & Richards St,40.6777748,-74.0094613,classic,23
165,3347,3,Van Brunt St & Wolcott St,40.6773429,-74.01275056,classic,36
166,3348,1,Coffey St & Conover St,40.677236,-74.015665,classic,32
167,3352,3,Sigourney St & Columbia St,40.67267243410948,-74.0087952464819,classic,21
168,3361,1,Carroll St & 6 Ave,40.6740886,-73.9787282,classic,23
169,3364,3,Carroll St & 5 Ave,40.6751622,-73.9814832,classic,27
170,3368,8,5 Ave & 3 St,40.6728155,-73.98352355,classic,30
171,3373,1,3 St & 3 Ave,40.6750705,-73.98775226,classic,79
172,3374,3,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,classic,36
173,3377,1,Carroll St & Bond St,40.6786115,-73.99037292,classic,25
174,3382,7,Carroll St & Smith St,40.680611,-73.99475825,classic,41
175,3384,3,Smith St & 3 St,40.6787242,-73.99599099,classic,25
176,3389,2,Carroll St & Columbia St,40.6830456,-74.00348559,classic,39
177,3392,4,Commerce St & Van Brunt St,40.6812117,-74.00860912,classic,19
178,3394,1,Columbia St & W 9 St,40.6769993,-74.00647134,classic,21
179,3397,3,Court St & Nelson St,40.6763947,-73.99869893,classic,33
180,3398,6,Smith St & 9 St,40.6746957,-73.99785768,classic,23
181,3399,3,7 St & 3 Ave,40.67260298150126,-73.98983001708984,classic,24
182,3402,4,Court St & State St,40.6902375,-73.99203074,classic,32
183,3403,6,4 Ave & 9 St,40.6705135,-73.98876585,classic,31
184,3404,4,7 St & 5 Ave,40.6704922,-73.98541675,classic,27
185,3407,4,Union St & Nevins St,40.67909799721684,-73.98765474557877,classic,35
186,3409,8,Bergen St & Smith St,40.6867443,-73.99063168,classic,48
187,3410,4,Dean St & Hoyt St,40.6864442,-73.98759104,classic,77
188,3411,6,Bond St & Bergen St,40.6849668,-73.98620772,classic,27
189,3412,6,Pacific St & Nevins St,40.6853761,-73.98302136,classic,18
190,3414,1,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,classic,33
191,3419,7,Douglass St & 4 Ave,40.6792788,-73.98154004,classic,51
192,3420,6,Douglass St & 3 Ave,40.6802133,-73.98432695,classic,35
193,3421,3,Hoyt St & Warren St,40.6843549,-73.98901629,classic,35
194,3429,2,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,classic,39
195,3430,4,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,classic,25
196,3436,18,Greenwich St & Hubert St,40.721319,-74.010065,classic,35
197,3440,3,Fulton St & Adams St,40.692418292578466,-73.98949474096298,classic,47
198,3443,3,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,classic,59
199,3452,6,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,classic,43
200,3453,10,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,classic,19
201,3454,2,Leonard St & Maujer St,40.7103685423523,-73.94705951213837,classic,24
202,3456,5,Jackson St & Leonard St,40.71638031973561,-73.94821286201477,classic,22
203,3478,1,2 Ave & 36 St,40.65708866668485,-74.00870203971863,classic,43
204,3483,1,Montgomery St,40.71942,-74.05099,classic,14
205,3491,1,E 118 St & 1 Ave,40.79747,-73.93504,classic,24
206,3499,2,2 Ave & E 122 St,40.8006721,-73.9349,classic,25
207,3514,1,Astoria Park S & Shore Blvd,40.7767,-73.927631,classic,33
208,3524,1,19 St & 24 Ave,40.7774552,-73.9225403,classic,23
209,3532,1,Ditmars Blvd & 19 St,40.78145,-73.9183302,classic,27
210,3534,4,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,classic,39
211,3553,16,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,classic,37
212,3589,4,Broadway & 12 St,40.7668,-73.9347774,classic,31
213,3600,7,31 Ave & Steinway St,40.7611488,-73.9170071,classic,27
214,3611,4,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,classic,31
215,3613,6,Center Blvd & 48 Ave,40.745038,-73.957539,classic,27
216,3620,1,11 St & 43 Ave,40.7519071,-73.9479119,classic,28
217,3638,3,Washington St,40.7242941,-74.0354826,classic,18
